sheet;variable;current_type
general;mine;character
general;mine_other_names;character
general;country;character
general;state;character
general;region;character
general;province;character
general;district;character
general;sector;logical
general;location_municipality;character
general;latitude;double
general;longitude;double
general;surface_area;logical
general;unit_surface_area;logical
general;claim_concession_area;double
general;unit_concession_area;character
general;mine_or_processing;character
general;commodities_products;character
general;mining_facility_types;character
general;production_start;double
general;production_end;double
general;activity_status;character
general;year_activity_status;double
general;certification_scheme;logical
general;source;character
general;source_url;character
general;comment;character
sub-sites;mine;character
sub-sites;sub-site;character
sub-sites;latitude;logical
sub-sites;longitude;logical
sub-sites;surface_area;logical
sub-sites;unit_id_surface_area;logical
sub-sites;claim_concession_area;logical
sub-sites;unit_id_concession_area;logical
sub-sites;mine_or_processing;character
sub-sites;commodities_products;character
sub-sites;mine_types;character
sub-sites;source;character
sub-sites;source_url;character
sub-sites;comment;logical
sub-sites;production_start;logical
sub-sites;activity_status;logical
sub-sites;year_activity_status;logical
minerals_ores_conce;mine;character
minerals_ores_conce;sub-site;character
minerals_ores_conce;type_mineral;character
minerals_ores_conce;min_ore_con;character
minerals_ores_conce;type_mining;character
minerals_ores_conce;year;double
minerals_ores_conce;unit_id;character
minerals_ores_conce;value;double
minerals_ores_conce;grade_unit;character
minerals_ores_conce;grade;double
minerals_ores_conce;amount_sold;double
minerals_ores_conce;production_share;double
minerals_ores_conce;source_name;character
minerals_ores_conce;source_url;character
minerals_ores_conce;comment;character
minerals_ores_conce;...16;logical
commodities;mine;character
commodities;sub-site;character
commodities;min_ore_con;character
commodities;commodity;character
commodities;type_mining;character
commodities;year;double
commodities;unit_id;character
commodities;value;double
commodities;grade_or_yield_unit;character
commodities;grade;double
commodities;recovery_rate;double
commodities;yield;logical
commodities;mine_processing;character
commodities;amount_sold;double
commodities;metal_payable;logical
commodities;production_share;double
commodities;source;character
commodities;source_url;character
commodities;comment;character
processing;facility;character
processing;sub-site;logical
processing;type_facility;character
processing;year;double
processing;process_input;character
processing;process_input_unit;character
processing;process_input_value;double
processing;process_output;character
processing;process_output_unit;character
processing;process_output_value;double
processing;grade_unit_id;character
processing;grade;double
processing;recovery_rate;character
processing;amount_sold;double
processing;metal_payable;logical
processing;production_share;logical
processing;mine_site_processing_incl_purchased;logical
processing;source;character
processing;source_url;character
processing;comment;character
transport;mine;character
transport;sub-site;character
transport;product;character
transport;transport_to;character
transport;transport_by;character
transport;export?;character
transport;export_to;character
transport;year;double
transport;unit;character
transport;value;double
transport;source;character
transport;source_url;character
transport;comment;character
capacity_reserves;mine;character
capacity_reserves;sub-site;character
capacity_reserves;minerals_and_ores;character
capacity_reserves;commodity;character
capacity_reserves;type_mining;character
capacity_reserves;processing_capacity_year;double
capacity_reserves;processing_capacity_unit;character
capacity_reserves;processing_capacity_value;double
capacity_reserves;reserves_year;double
capacity_reserves;reserves_mineral_unit;character
capacity_reserves;reserves_mineral_value;double
capacity_reserves;reserves_commodity_unit;character
capacity_reserves;reserves_commodity_value;double
capacity_reserves;reserves_share;character
capacity_reserves;grade_unit;character
capacity_reserves;grade;double
capacity_reserves;recovery_id;character
capacity_reserves;metallurgical_recovery;double
capacity_reserves;source;character
capacity_reserves;source_url;character
capacity_reserves;comment;character
waste;mine;character
waste;sub-site;logical
waste;waste_type;character
waste;mineral;character
waste;commodity;character
waste;mining_type;character
waste;year;double
waste;unit;character
waste;value;double
waste;total_material;character
waste;stripping_ratio;character
waste;waste_to_ore_ratio;character
waste;amount_landfill;character
waste;source;character
waste;source_url;character
waste;comment;character
waste;...17;character
other_info;mine;character
other_info;sub-site;character
other_info;owners;character
other_info;operators;character
other_info;year;character
other_info;source;character
other_info;source_url;character
other_info;comment;character
other_info;...9;character
other_info;...10;character
water_input;mine;character
water_input;sub-site;logical
water_input;mineral;character
water_input;year;double
water_input;unit;character
water_input;value;double
water_input;recycled_percentage;double
water_input;source;character
water_input;source_url;character
water_input;comment;logical
non-fitting_info_commodities;mine;character
non-fitting_info_commodities;min_ore_con;character
non-fitting_info_commodities;commodity;character
non-fitting_info_commodities;value;double
non-fitting_info_commodities;year;double
non-fitting_info_commodities;unit;character
non-fitting_info_commodities;recovery_rate;double
non-fitting_info_commodities;source;character
non-fitting_info_commodities;source_url;character
non-fitting_info_commodities;comment;logical
non-fitting_info_commodities;mining_type;character
environmental_concerns;mine;logical
environmental_concerns;source;logical
environmental_concerns;source_url;logical
environmental_concerns;comment;logical
