sheet;variable;mine_fac
sub_sites;mine;LKAB Division South
minerals_ores_conce;mine;Diefontein
minerals_ores_conce;mine;Neves-Corvo
commodities;mine;Turquoise Ridge
commodities;mine;Energy Resoures of Australia
commodities;mine;Samancor
commodities;mine;Soledad-Dipolas
commodities;mine;Neves-Corvo
transport;mine;San Luis Potosi Refinery
transport;mine;Hamersley
transport;mine;Crinum
transport;mine;Neves-Corvo
capacity_reserves;mine;Cripple Creek & Victor Mine (Cripple Creek & Victor )
capacity_reserves;mine;Arvida AP60
capacity_reserves;mine;Energy Ressources of Australia
capacity_reserves;mine;Anadacollo
capacity_reserves;mine;Meyerton Metalloys Smelter
capacity_reserves;mine;Kambalda
capacity_reserves;mine;Neves-Corvo
capacity_reserves;mine;LKAB Division South
waste;mine;Twin Creeks
other_info;mine;Cripple Creek & Victor Mine (Cripple Creek & Victor )
other_info;mine;Turquoise Ridge
other_info;mine;Lone Tree Complex
other_info;mine;Arvida AP60
other_info;mine;Hammersley Mines
other_info;mine;Energy Ressources of Australia
other_info;mine;Neves-Corvo
other_info;mine;Andacollo
other_info;mine;Crinum
other_info;mine;Kambalda
other_info;mine;Fire Lake
